video_id,channel_id,title,published_date,views,likes,comments,engagement_rate
WH-SpploL0s,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa (Audio Jukebox) Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman P | Netflix India,2025-12-11 09:14:55+00:00,7099,163,15,0.0251
R06GjskvjQk,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Ghotala (Audio) | Kunal K | Manoj P | Ayesha R | Prajakta K | Aman Pant,2025-12-11 09:04:57+00:00,3442,55,22,0.0224
LFs-sX1Fr2w,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Tu Hi Saahiba (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman Pant,2025-12-11 09:02:33+00:00,10427,225,22,0.0237
0lwy5nmbNJU,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Ajab Yeh Ishq (Reprise) (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman,2025-12-11 09:02:05+00:00,6707,185,20,0.0306
ITM2swr34Y0,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Chura Loon Saare Taare (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman P,2025-12-11 08:57:00+00:00,4449,60,12,0.0162
ZC9jckz5df4,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Ajab Yeh Ishq (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman Pant,2025-12-11 08:54:39+00:00,17678,566,32,0.0338
-_SHQQEPLUg,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Ib Na Jaane (Audio) | Kunal Kemmu | Manoj Pahwa | Ayesha Raza | Prajakta Koli,2025-12-11 08:52:38+00:00,4102,89,13,0.0249
LWi7_mrLsg4,UCq-Fj5jknLsUf-MWSy4_brA,"Single Papa Title Track (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Raghav M, Khwaab",2025-12-11 08:50:29+00:00,2311,54,5,0.0255
3bTVNFD08yo,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: GG Ki Ghaintness (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman Pant,2025-12-11 08:48:12+00:00,5060,93,17,0.0217
mJAtkn3g6jE,UCq-Fj5jknLsUf-MWSy4_brA,"MANAN BHARDWAJ - ""SAJNI"" - MV | AARZU THAKUR | BHUSHAN KUMAR",2025-12-11 05:30:05+00:00,2982855,54631,3316,0.0194
DY1DdeW3VyI,UCq-Fj5jknLsUf-MWSy4_brA,"Tere Ishk Mein (Full Video) | Dhanush, Kriti S | AR Rahman, Arijit S, Irshad | Aanand LR | Bhushan K",2025-12-10 15:59:08+00:00,1030262,13360,382,0.0133
