channel_name,subscribers,total_videos,total_views,category,stored_video_count
"BhavaniHD Movies",9490000,41819,4908728589,big,51
"Super Simple Songs - Topic",632000,1298,635415499,medium,25
"Coding With Evan",43600,103,3508620,small,103
"Code with Alisha",32000,345,2907664,small,200
"Kyra Music",163000,225,37677041,medium,175
"Finance with Anne",37800,71,796788,small,70
"GMi Gaming",796000,1698,598102618,medium,45
"Halka Tech",1770000,460,424444990,big,424
"Nimbus Education",198000,671,18426916,medium,125
"RTÉ Sport",100000,2995,43661123,medium,6
"Learn to Code with CodeChef",111000,1913,3821846,medium,29
"online news india",7400000,15101,3351500980,big,52
"Sufiyan Technology",56100,2388,17222669,small,4
"Ultra 4K Movies",1870000,754,559316815,big,188
"FINANCE ACADEMIE",8050,204,507543,small,0
"Telugu Movies",3550000,433,1081315858,big,294
"Seattle Science Foundation",204000,4161,31701187,medium,5
"Education Trap",77700,1549,11764480,small,77
"KC Music Company ",1130,58,78833,small,58
"TNT Sports Argentina",1500000,38048,783076342,big,17
"Yahoo! Sports",347000,12164,294604094,medium,86
"Sandesh News",2170000,242156,746956547,big,75
"Bengali Movies- Angel Digital",7790000,4183,1869779598,big,27
"1 Finance",12600,530,28147909,small,394
"Genique Education",192000,5014,32687977,medium,0
"Finance with Avrin",9600,280,915287,small,274
"Tyro Gaming",2010000,232,1226831469,big,200
"Educational Bhaiya",2410000,355,329801453,big,224
"Finance Dad",4300,43,96826,small,42
"India News Haryana",775000,78060,217501162,medium,112
"Neebs Gaming",2400000,3082,1397213660,big,5
"Computer Education For all",80600,161,5381251,small,161
"Zee News",41800000,256660,29956622523,big,131
"Bengali Movies - Channel B Entertainment",3750000,291,1103273239,big,260
"Top Praise and Worship Songs - Topic",26000,51,18354896,small,51
"Science Simplified",38100,210,3544666,small,208
"On Sports",727000,13849,358155331,medium,14
"Defog Tech",87500,56,6453921,small,56
"Python Coding (CLCODING)",54300,1328,899151,small,145
"🎧MUSIC MOOD🎧",5570,51,401182,small,51
"にゅうちゅうぶ | NEWS official",277000,235,170965933,medium,235
"Coding for All ",106000,723,15815762,medium,461
"Coding Droplets",25900,259,2391993,small,248
"Unending Education",640000,295,63271037,medium,250
"Aditya Kids education",80600,155,12468992,small,155
"The Sheekey Science Show",46700,303,3276213,small,285
"KTG Gaming",1250000,527,268277837,big,419
"United India Exporters",4200000,19807,1643037622,big,1
"MJT Education",782000,5209,77489413,medium,16
"beIN SPORTS",15800000,7451,2778834984,big,14
"Unbound Music - Topic",12300,102,10436537,small,99
"Code With Arjun",35300,300,10482414,small,25
Code.org,464000,867,102244191,medium,377
"Sky Sports Cricket",734000,3153,402200357,medium,12
"8號電影院 -  HK Movie",1160000,1719,243634694,big,79
"HW News English",1730000,28556,688323091,big,84
"Education 4u",950000,3710,249399821,medium,0
"IBM Technology",1490000,1495,99909077,big,63
"DD News",6910000,126511,1183879960,big,111
"Education Lessons",39400,170,6463986,small,25
"Marko - WhiteBoard Finance",1020000,392,67672519,big,414
"Programming Live with Larry",67400,5143,3057467,small,6
"Espace des sciences",230000,1239,61152079,medium,212
"YouTube Movies",195000000,0,0,big,0
"OTV News English",815000,62865,308819409,medium,100
"Savvy Finance",349000,2482,62936950,medium,9
"Coding Garden",141000,480,5872113,medium,75
"ROYS FINANCE",4130,236,308099,small,175
"Venom's Tech",1380000,1308,374698934,big,96
"Music Kamaal",437000,120,159849759,medium,120
"Music Travel Love",5960000,115,2605238263,big,113
"Ludic Science",150000,509,32262763,medium,25
"Deepak Yadav Education",642000,3217,92024996,medium,7
"Plain English Finance & Andrew Craig",17100,144,553165,small,125
"Sports Digitale",862000,4403,368068015,medium,23
"Finance Boosan",572000,517,59346326,medium,225
"Align Technology",1660,22,211816,small,22
Mrwhosetheboss,22000000,1866,8051432827,big,7
"Kids Songs - Topic",2090,552,8952559,small,171
"Legacy Gaming",517000,2048,142590042,medium,17
"Star Sports",9380000,29481,4621866965,big,22
"Coding Addict",201000,790,10218827,medium,175
"IIFL Finance",38200,733,6659724,small,324
"Coding Simplified",43600,632,5707843,small,400
"Honest Finance",240000,221,18819252,medium,215
"Coding With T",126000,359,10466221,medium,25
"Altinok Music Prod",9360,65,16721824,small,65
"Financial Education",908000,2825,140853772,medium,6
"JONATHAN GAMING",7440000,511,726655297,big,375
"K-City Gaming",1690000,641,1148911875,big,125
"Chai aur Code",810000,704,82375804,medium,429
"Code Decode",160000,310,19503416,medium,299
"Sleepy Science Channel",172000,134,13794005,medium,133
"G for Gaming",1310000,351,529079244,big,321
"Tech Ronax",4580000,604,1062290249,big,440
"Code for Interview",63100,317,7498255,small,310
"CBC Sports",307000,14956,292776183,medium,10
"Stars Music Records by Kayh",4770,88,213863,small,88
"Cheezy Code",77100,426,10046962,small,75
